EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 13:48:53"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline_BT-50%
TimeSeries,Katt_mints_baseline_BT-50
StartYear,1982

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1982,0.01866564,0.04100185,0.007172579,0.6969435,0.2551224,0.4367225,0.2120926,0.2215952,1.508665,0.2507541,0.7024011,0.0787046,0.02031337,1.041573,1.629078,9.169967,1.68777,18.69436,4.00273,67.64602,75.92428,3.107637,21.16305,40.57083,0.06945469,18.99365,11.89888,0.491286,49.35875
1983,0.02019047,0.04100132,0.007946029,0.7576663,0.2919979,0.4903351,0.2444332,0.2629814,1.632933,0.272236,0.7279462,0.09481219,0.0244109,1.130443,1.719374,9.628386,1.612112,16.4215,4.487363,70.11148,77.93691,3.268253,22.97211,41.57629,0.07197015,7.43792,12.42193,0.1734405,28.13623
1984,0.02115144,0.04105932,0.008369111,0.7832037,0.2959622,0.5203934,0.2305132,0.2158142,1.6742,0.2789803,0.7489376,0.08968917,0.02058427,0.9642728,1.293078,8.879719,1.386152,14.61523,3.155895,66.04481,53.56876,3.133837,21.97185,31.93181,0.05781463,8.142847,9.745479,0.3186733,33.62184
1985,0.01891535,0.04109667,0.01109767,0.6803544,0.2433538,0.4383301,0.2123464,0.2346593,1.552646,0.2476955,0.7173715,0.07361708,0.01717607,0.8992789,1.1241,8.269198,1.515831,15.98182,2.914255,68.17689,75.96923,2.987073,23.43182,37.85142,0.04840754,25.91259,7.662621,0.6372324,57.96724
1986,0.01804808,0.04103669,0.01169593,0.7596621,0.2659566,0.4690867,0.2850684,0.3409434,1.670878,0.2677723,0.7891588,0.09846971,0.02397937,1.303451,1.998488,9.869271,2.268752,26.44842,5.922977,76.97089,119.1056,3.100122,29.27126,55.17162,0.08916729,22.82502,19.7998,0.4809558,56.68669
1987,0.0266606,0.04109302,0.01309945,1.0283,0.429426,0.6307797,0.3793248,0.3932286,2.06086,0.358117,0.986033,0.1528705,0.04208141,1.678781,3.195148,12.57079,2.067404,24.06109,9.504242,77.76652,108.1077,3.33997,35.35455,55.3024,0.1281264,8.117683,19.62677,0.1826251,33.81934
1988,0.03846347,0.04139526,0.01105889,1.257383,0.5685188,0.7486525,0.326449,0.2983277,2.227036,0.40668,1.231727,0.1466572,0.03724379,1.521936,2.528603,12.38957,1.609516,20.01818,6.703457,65.72168,55.93043,2.905299,35.63083,37.90781,0.1017254,2.62219,16.36609,0.1488648,26.24003
1989,0.04018696,0.0417732,0.007996372,1.129541,0.4100343,0.5667931,0.240111,0.2132925,1.828337,0.3412854,1.204538,0.1176936,0.02607642,1.142038,1.912166,10.64544,1.470966,17.84829,4.732042,56.28421,49.7206,2.565594,34.18292,33.27341,0.07254311,17.44166,10.82158,0.4918565,47.99157
1990,0.03073871,0.04178257,0.007172579,0.9011681,0.3147907,0.3844734,0.2376963,0.2412745,1.496094,0.2720406,1.002985,0.1250315,0.02306333,0.9892985,1.448826,9.492501,1.389927,14.59527,3.723831,54.35963,68.53234,2.513085,36.264,35.15094,0.05366408,16.04828,8.385859,0.3841019,41.25527
1991,0.02290899,0.04163709,0.01032028,0.8570571,0.3038564,0.3973921,0.2245411,0.2502472,1.348374,0.2401329,0.9380066,0.1405578,0.0191665,0.7991145,0.8476308,8.040523,1.187076,10.55031,2.143909,51.35658,77.99025,2.318643,37.45483,28.15583,0.03416763,13.96604,4.63483,0.3966747,38.12294
1992,0.01655841,0.04150226,0.009966862,0.8310542,0.3355384,0.4725539,0.1616448,0.2685769,1.22954,0.215209,0.9459506,0.1284367,0.01510324,0.6656951,0.4662863,6.791171,1.261466,12.59506,1.22581,50.2328,91.19619,2.288498,38.23288,24.41766,0.0235369,15.89291,6.747818,0.4351359,42.20644
1993,0.01311294,0.0414257,0.01261522,0.8929424,0.3715826,0.5304679,0.1552926,0.2944638,1.194725,0.214888,1.027142,0.1346648,0.0161729,0.7484804,0.450814,7.451957,1.57986,11.87618,1.230983,50.32801,97.72712,2.446006,38.54407,23.14432,0.02888905,11.4806,6.783329,0.329468,34.94239
1994,0.01257551,0.04145325,0.01412904,0.9788179,0.3720366,0.5501525,0.2033696,0.2880253,1.179916,0.2236517,1.199057,0.1458639,0.01626026,0.7580438,0.4166753,7.691002,1.65815,13.55883,1.100354,48.88802,90.5217,2.589593,36.57868,20.01615,0.03175084,10.89092,8.73129,0.3430676,35.91245
1995,0.01321252,0.04155327,0.01582453,0.9889843,0.3521016,0.5584725,0.2399683,0.2786649,1.139054,0.2266939,1.386725,0.1353792,0.01618359,0.7526495,0.3795134,7.771546,1.565419,9.114505,0.9512085,47.92096,86.21235,2.66603,33.63775,18.16406,0.02862493,9.655992,4.142167,0.3182234,31.63579
