EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"07/05/2020 15:59:02"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effbaseline"
StartYear,1991

Data,Biomass

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
1991,0.06700555,0.01699517,0.007999738,0.001999649,0.0009961518,0.1295988,0.0009989179,0.00199775,0.268209,0.3892562,0.06596155,0.04999277,0.1002682,0.1302304,0.02645566,0.4113305,0.007705511,0.1147663,0.1161737,0.2022966,0.01391006,0.2328705,1.156065,0.06490293,0.2933174,0.0417954,0.1792693,0.1539178,2.802449,0.5152408,0.7591036,0.7767947,1.913255,0.5885365,2.798243,0.3496683,0.2494621,0.1336905,0.1396306,0.08181718,0.02241728,0.03342266,0.03293981,0.04506664,0.01399287,0.02537666,0.3653455,0.03133936,0.0629686,0.3847248,3.432153,18.10681,0.06864887,1.199493,0.9799633,78.12489,137.3295,0.07579868,30.42734,151.5337,105.3842,3.961437,0.1072508,1.47476,0.003997023,7.630278,25.52764,25.46178,1.003164E-06
1992,0.06712451,0.01699501,0.008021992,0.002015973,0.0009892628,0.1295744,0.001019161,0.002007876,0.2800981,0.3928999,0.06600864,0.05111827,0.1071613,0.1316095,0.02604918,0.4067054,0.007543942,0.1132894,0.1211994,0.1966381,0.01402047,0.2741468,1.139121,0.06800348,0.3117073,0.04227473,0.1836326,0.1765906,2.914032,0.489381,0.774854,0.8424732,2.274024,0.613853,2.812131,0.3516662,0.2465973,0.1298877,0.1398599,0.08243854,0.01638708,0.03254694,0.03307773,0.04588951,0.0140686,0.02684139,0.3762889,0.03570097,0.07192742,0.4208755,3.560953,18.09898,0.07886627,1.207003,0.9800508,78.53355,139.2454,0.06445269,30.78202,153.2466,106.0788,3.856218,0.1060453,1.45597,0.004088355,7.490539,25.32165,25.24435,1.070564E-06
1993,0.06737902,0.01700538,0.008083655,0.002055838,0.0009800745,0.1307564,0.001044845,0.00202098,0.3010621,0.3962715,0.06557615,0.05305456,0.1140532,0.1356547,0.0254629,0.3859226,0.007522032,0.1102858,0.1218166,0.1908868,0.01407538,0.2693278,1.040063,0.07499874,0.3102583,0.04435548,0.1923579,0.1645446,3.016355,0.313163,0.7788439,0.8707493,2.488022,0.6526889,2.832143,0.354677,0.2424972,0.1223175,0.141366,0.08374217,0.01230529,0.03110409,0.03351474,0.04621198,0.01435766,0.02739198,0.3882923,0.03318114,0.06698933,0.3945332,3.416195,17.92599,0.07402769,1.221713,0.978582,79.05804,139.754,0.06593058,30.62403,152.8228,106.4202,3.883448,0.1067409,1.465029,0.004302382,7.562813,25.43076,25.36408,1.107085E-06
1994,0.06768701,0.01700866,0.008171937,0.002094618,0.0009730963,0.1308759,0.001059414,0.002030196,0.3256301,0.3924987,0.06615135,0.05548623,0.1150655,0.1405843,0.02087046,0.3482172,0.007182277,0.1079257,0.1207995,0.1901621,0.01350139,0.2709754,1.042328,0.08252696,0.3126983,0.04646517,0.2026185,0.1674861,3.001637,0.2081541,0.7954529,0.8776477,2.683547,0.6923191,2.85359,0.3601143,0.2410734,0.1116702,0.1427896,0.08477119,0.009264822,0.0281278,0.03396052,0.04691103,0.01482752,0.0279948,0.4102778,0.03377102,0.06790646,0.3931408,3.395351,17.61272,0.07373104,1.233946,0.9755263,79.37526,139.6647,0.07224215,30.47883,152.2054,106.6926,3.847757,0.1060992,1.454547,0.004517906,7.522703,25.3158,25.25314,1.058532E-06
1995,0.06806488,0.01701694,0.008285565,0.002119651,0.0009734244,0.1316016,0.001098848,0.002044718,0.3506446,0.3799004,0.06814937,0.05879133,0.11077,0.1412559,0.01675232,0.3156789,0.006976097,0.1124189,0.1173437,0.1925599,0.01296558,0.2610548,1.147483,0.09142727,0.3190419,0.04955844,0.2158841,0.158165,3.033893,0.1678911,0.832819,0.8593407,2.87968,0.709653,2.884282,0.3696408,0.2461075,0.09920604,0.1441775,0.08604402,0.007403004,0.02593032,0.03460679,0.04752364,0.01549479,0.02899334,0.4518679,0.03267658,0.0657577,0.3789952,3.280131,17.17584,0.07097595,1.24147,0.972918,79.46297,138.9981,0.07070749,30.28262,151.2959,106.7522,3.868404,0.1061663,1.45552,0.004731718,7.555374,25.30713,25.25954,9.476173E-07
1996,0.06850743,0.01703496,0.00842585,0.002126525,0.0009775523,0.1339127,0.001165374,0.002054586,0.3724997,0.3515091,0.07128258,0.06276635,0.1009608,0.1351584,0.01357426,0.2822621,0.006039303,0.1183607,0.1110004,0.196975,0.01276806,0.2364845,1.30416,0.1018123,0.3298627,0.0543438,0.2316804,0.1539463,3.293652,0.1991572,0.8984526,0.8370445,2.891897,0.6957303,2.92837,0.3845665,0.2573376,0.08726031,0.145203,0.08762527,0.006611424,0.02488299,0.03553827,0.04771146,0.0163674,0.03020881,0.5105923,0.03191611,0.06253523,0.3662215,3.132589,16.63368,0.06688043,1.244164,0.9727192,79.37732,138.6147,0.06648993,30.27069,151.1116,106.8865,3.897323,0.1063433,1.460656,0.004943329,7.610815,25.31754,25.30084,8.312388E-07
1997,0.06894166,0.01705444,0.008562231,0.002114831,0.0009916734,0.138563,0.001240174,0.002055851,0.37535,0.3044987,0.07501287,0.06590533,0.07531357,0.1226861,0.01025099,0.2551319,0.007975605,0.127707,0.1011202,0.2020293,0.01269915,0.207863,1.441437,0.1090482,0.3421752,0.05929657,0.2410135,0.1610308,3.670187,0.3126422,0.9831902,0.7975354,2.632707,0.6696958,2.9783,0.4064488,0.2692108,0.07727198,0.1456283,0.08895231,0.006681163,0.02556639,0.03643456,0.0482117,0.01717754,0.03094849,0.5523756,0.03112747,0.05761356,0.3525986,2.96985,16.1155,0.06211783,1.247117,0.9744341,79.32674,138.8789,0.07365822,30.41503,151.7773,107.2287,3.932958,0.1068215,1.471539,0.005055965,7.697487,25.38588,25.40928,7.77669E-07
1998,0.06932831,0.01706615,0.008669597,0.002082554,0.001021712,0.1455523,0.00132831,0.002058137,0.3606021,0.2567224,0.07997099,0.06829525,0.04685706,0.1011521,0.008079891,0.2372593,0.01284437,0.1436429,0.0910183,0.2031659,0.01273956,0.1812504,1.574661,0.1137315,0.3567719,0.06455228,0.2427534,0.1872679,3.963024,0.3325522,1.066975,0.7655659,2.323327,0.655488,3.032332,0.4350104,0.2799127,0.06957408,0.1462592,0.09068359,0.007259517,0.02764676,0.03712173,0.04985429,0.01805564,0.031642,0.5728811,0.03093983,0.05354569,0.3467096,2.86469,15.84756,0.05934481,1.252143,0.9800661,79.45219,139.7357,0.08389074,30.6256,152.9805,107.8124,3.949884,0.1072359,1.480785,0.005034265,7.760813,25.45559,25.50912,6.845842E-07
1999,0.06966347,0.01706394,0.008741865,0.002028758,0.001059545,0.1541301,0.001419498,0.002060522,0.3372699,0.2196217,0.08590562,0.07029917,0.02836521,0.07348176,0.00702668,0.2152072,0.01420642,0.1654129,0.09203798,0.1990571,0.01287127,0.1616684,1.65725,0.121217,0.3678294,0.07271781,0.2383671,0.2256106,4.312502,0.3586058,1.116798,0.7551779,1.961303,0.6639061,3.094234,0.467306,0.2901344,0.06412113,0.1482034,0.09393004,0.008023771,0.03005643,0.03763464,0.05207374,0.01965995,0.03273429,0.5774127,0.03130559,0.05063315,0.3455644,2.782809,15.70209,0.05767292,1.257597,0.9864474,79.7439,140.6525,0.08867017,30.73886,154.0395,108.4784,3.948157,0.107489,1.485736,0.004927243,7.806349,25.5132,25.5826,6.385661E-07
2000,0.06994037,0.0170483,0.008780604,0.001966007,0.001100997,0.1642933,0.001493055,0.002060067,0.3075979,0.1986,0.09158728,0.07134204,0.02022308,0.05318214,0.007055024,0.1989896,0.01134592,0.1758246,0.1062946,0.2121163,0.01305282,0.1375509,1.639992,0.1300998,0.3671598,0.08294915,0.228092,0.2578769,4.820943,0.4001172,1.114964,0.7481483,1.692493,0.6950097,3.156461,0.4980036,0.3002549,0.06054529,0.1507531,0.09768937,0.008764728,0.03296119,0.03790852,0.05398634,0.02187904,0.03358266,0.5630398,0.03043318,0.04738036,0.3410319,2.636395,15.42787,0.05549392,1.2621,0.9918141,80.14581,141.7368,0.09467858,30.86835,155.202,109.253,3.979239,0.1082011,1.499054,0.004777322,7.91449,25.65726,25.75426,6.189868E-07
2001,0.07019237,0.01701964,0.008804095,0.001905725,0.001151603,0.1769746,0.001516061,0.002125169,0.2863476,0.1900683,0.09651243,0.07145905,0.02150891,0.04121601,0.01014403,0.1934378,0.005837533,0.1875773,0.1253732,0.2441151,0.01314276,0.1133291,1.580535,0.1397799,0.362667,0.09284174,0.2167352,0.2417558,5.440862,0.3086695,1.053641,0.7263141,1.503745,0.7463841,3.222637,0.5258532,0.3090552,0.05845862,0.1528721,0.100481,0.008889161,0.03461619,0.03786743,0.05638722,0.02424071,0.03356398,0.5442558,0.02915028,0.04532072,0.3412038,2.539567,15.38605,0.05420147,1.26672,0.9967964,80.70779,143.4811,0.1072901,31.1795,156.9736,110.3499,4.021493,0.1090626,1.516069,0.004636118,8.011956,25.82688,25.95104,6.233786E-07
2002,0.07039293,0.01697924,0.008823811,0.001859091,0.0012017,0.1897541,0.001465259,0.002204018,0.2713958,0.1780201,0.0983801,0.06992725,0.02867822,0.03485673,0.01041044,0.1955032,0.001954812,0.2082704,0.1436438,0.267843,0.01249441,0.09475186,1.485284,0.1454674,0.3587426,0.09949864,0.2058876,0.206072,5.957563,0.1937494,0.9491817,0.6922881,1.486337,0.8119566,3.288945,0.5491236,0.3157739,0.05751436,0.1543978,0.1014363,0.008068906,0.03381928,0.03743476,0.05877535,0.02609116,0.03222017,0.5217128,0.02866369,0.04497153,0.3510483,2.546558,15.56895,0.05391464,1.277092,1.002474,81.45008,145.2675,0.09978052,31.42723,158.4884,111.5902,4.020307,0.1094296,1.522402,0.004516518,8.041552,25.91932,26.0475,7.245888E-07
2003,0.07058589,0.01694412,0.008866309,0.001837753,0.001229008,0.1986313,0.001360625,0.002156674,0.2663791,0.1602386,0.09714148,0.06759108,0.02914796,0.03547764,0.005718298,0.1977251,0.002733798,0.2424752,0.1643858,0.2755287,0.01117046,0.0767637,1.457509,0.1567786,0.3549801,0.1091077,0.2005299,0.1612568,6.172907,0.1518304,0.861406,0.6637235,1.668272,0.8877469,3.34093,0.5653442,0.3212771,0.05763267,0.1567055,0.1026123,0.007180742,0.0320517,0.03710235,0.05999409,0.02855251,0.0305509,0.5242928,0.02834967,0.04594497,0.357116,2.549079,15.60599,0.05308512,1.298129,1.007866,82.2406,146.3941,0.08909615,31.47615,159.0184,112.6894,4.014143,0.1096536,1.524201,0.004472593,8.069867,25.98585,26.11054,7.797664E-07
2004,0.07079772,0.0169299,0.008961753,0.001834325,0.001254395,0.2054764,0.001264567,0.002063388,0.2746291,0.1394701,0.09734732,0.06635908,0.02271761,0.03659478,0.002389629,0.1873262,0.005970979,0.2889098,0.1648919,0.2900351,0.009760304,0.06375211,1.526384,0.175198,0.3575416,0.1240984,0.20375,0.1244137,6.169283,0.1017054,0.8249447,0.6520503,1.866721,0.9912515,3.383987,0.5812878,0.3274084,0.05939617,0.1593364,0.1045917,0.00703375,0.03081036,0.03720767,0.06130159,0.03216489,0.02962698,0.5551808,0.02857459,0.04728809,0.3566595,2.513767,15.49992,0.05300767,1.322314,1.011448,82.90102,147.002,0.1040111,31.48036,159.1226,113.6598,4.030011,0.1099386,1.527856,0.004521761,8.107442,26.04708,26.17571,7.789843E-07
2005,0.07103478,0.0169285,0.009111407,0.001836062,0.001300462,0.2146337,0.001229759,0.002046097,0.2902538,0.120709,0.1007278,0.06700639,0.01398514,0.03433771,0.001441611,0.172492,0.007353195,0.3433363,0.1450476,0.3066863,0.008375628,0.05770094,1.785876,0.1923539,0.3662514,0.140062,0.2129942,0.1154973,6.201658,0.08080243,0.8485716,0.6544945,1.890609,1.148889,3.42973,0.6009524,0.3354108,0.06354936,0.1611453,0.1065944,0.007676102,0.03023556,0.03761508,0.06275397,0.03588707,0.02941509,0.5912884,0.02927011,0.04658052,0.3487487,2.397793,15.0619,0.05241937,1.337499,1.011417,83.35069,147.2617,0.1025681,31.46126,159.1421,114.5372,4.048275,0.1101536,1.531524,0.004622438,8.160607,26.08079,26.22939,7.476802E-07
2006,0.07125676,0.01692601,0.009289709,0.001836531,0.001348525,0.2281135,0.001239217,0.002070427,0.2931915,0.1095691,0.1038344,0.0675615,0.006729656,0.0297755,0.001812666,0.1601954,0.006443823,0.3671599,0.1226402,0.3203146,0.007466306,0.05004778,1.738037,0.2043685,0.3671945,0.155209,0.2181426,0.1095952,6.412731,0.08966517,0.8903999,0.6602519,1.660722,1.36455,3.470153,0.6172463,0.3443037,0.07051041,0.1622299,0.1082568,0.009258133,0.03051821,0.03801119,0.06230689,0.03920798,0.02897294,0.5956583,0.02791727,0.04249657,0.3305381,2.200067,14.28237,0.04808394,1.333786,1.005556,83.64042,147.5984,0.09957696,31.52004,159.5481,115.4373,4.083541,0.1105734,1.540866,0.004687335,8.255656,26.13155,26.32627,7.583128E-07
2007,0.0714388,0.01689639,0.009472026,0.001838888,0.001399173,0.2448932,0.001266972,0.00209905,0.2837223,0.108229,0.1070449,0.06757919,0.004112434,0.02464567,0.002418509,0.1507308,0.0045369,0.3809378,0.09510329,0.3271113,0.006929972,0.0399774,1.681316,0.214453,0.3613382,0.1691938,0.214139,0.1076556,6.608305,0.07242265,0.889464,0.6512938,1.560078,1.629581,3.50493,0.6308011,0.3501112,0.08031974,0.1633385,0.1098802,0.01132774,0.03010009,0.03797003,0.06241129,0.0424109,0.02832469,0.5735758,0.02700695,0.03950723,0.3114534,2.023172,13.35999,0.04421847,1.322464,0.9976973,83.90139,148.1306,0.1150149,31.59576,160.0468,116.3745,4.080676,0.1105852,1.543446,0.004699969,8.314203,26.09902,26.34468,7.885492E-07
2008,0.07160936,0.0168588,0.009673817,0.00184362,0.001454075,0.2619574,0.001326985,0.002107922,0.2785304,0.1159182,0.1105412,0.06812025,0.007271971,0.02026976,0.003729158,0.1456455,0.003778152,0.4251201,0.08072361,0.3183655,0.006690361,0.03197359,1.714495,0.2230874,0.3515843,0.1826828,0.2115026,0.1082452,6.573783,0.06051922,0.8555773,0.634334,1.444347,1.925089,3.540479,0.6420292,0.3587728,0.09275889,0.1645852,0.1113522,0.01376958,0.02955246,0.03783689,0.06293698,0.0453543,0.0277958,0.5724122,0.02498495,0.03735081,0.2898103,1.880891,12.49994,0.04033938,1.312237,0.9917951,84.11893,148.1467,0.1088949,31.51418,159.8494,117.133,4.061725,0.1103007,1.539471,0.004718542,8.329246,26.00345,26.28894,7.734316E-07
2009,0.07168358,0.01680817,0.009879782,0.001843566,0.001471306,0.273692,0.001393758,0.002053588,0.2627665,0.1198923,0.1121327,0.06782836,0.02248808,0.0185263,0.006488225,0.1327948,0.003258797,0.4576223,0.08169018,0.2866457,0.006619938,0.02617191,1.656122,0.2228071,0.3410388,0.1930713,0.2037591,0.1040448,6.52246,0.06218698,0.8060207,0.5985125,1.231014,2.22608,3.567615,0.6462869,0.3660829,0.1075074,0.1655725,0.1126466,0.01560782,0.02868964,0.03745071,0.06199466,0.0477919,0.02717714,0.5443193,0.02311195,0.0351564,0.2732059,1.766608,11.6478,0.03573197,1.300864,0.9887116,84.12017,147.1644,0.1053243,31.20897,158.7179,117.4459,4.012722,0.1094192,1.524336,0.004668462,8.288386,25.80387,26.11383,8.462398E-07
2010,0.07164602,0.01674435,0.01007388,0.0018395,0.001452279,0.2811904,0.001472399,0.002006317,0.2414107,0.1168726,0.1120003,0.06697006,0.03897903,0.03108568,0.006787738,0.123717,0.002554224,0.4553472,0.08981385,0.2521123,0.006575808,0.02186768,1.549504,0.2181806,0.3319793,0.201212,0.1921594,0.09558532,6.248132,0.06575178,0.7510919,0.5436224,1.100853,2.509465,3.582416,0.6402444,0.3680687,0.1240036,0.1660767,0.1139406,0.01660831,0.02742587,0.03683619,0.06037015,0.05014219,0.02650733,0.5058669,0.02082682,0.03319076,0.2580092,1.671959,10.87403,0.03138916,1.287867,0.9902852,83.78436,145.3732,0.0971727,30.81196,156.9609,117.2292,3.980704,0.1085619,1.509467,0.004566083,8.239873,25.59803,25.92619,8.359443E-07
