EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"07/05/2020 15:59:06"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effbaseline"
StartYear,1991

Data,Catch

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
1991,0,0,0,0,0,0.00874602,0.0002720949,0.0002624845,0,0.01281091,0.01116763,0.006754884,0.09818568,0.1224166,0.00653219,0.2620175,0.003922115,0.1021007,0.07429006,0.1270423,0.005285824,0.06753244,0.7502862,0.03625992,0.02877636,0.02239588,0.007985116,0.02316993,0.7981375,0.350879,0.2102717,0.03929556,0.9807026,0.3682871,0.1575422,0.001013255,0.06322368,0.0644228,0.01465154,0.01628901,0.01746665,0.003419204,0.00133367,0,0.00538918,0.008831383,0.1717422,0.01112378,0.002260707,0,0,0,0,0.0143351,0.01905502,0.006658187,0,0.1266027,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0.008272093,0.0002466745,0.0002561928,0,0.01246674,0.01072429,0.006136806,0.09994724,0.1223968,0.006010982,0.2399562,0.003621253,0.0992266,0.07465945,0.1199492,0.005660763,0.06360207,0.6914463,0.0366635,0.03257987,0.02190592,0.008957596,0.03012941,0.9190857,0.3636101,0.2247077,0.06523261,1.110482,0.3711999,0.1674575,0.0008618415,0.0724205,0.06609466,0.014805,0.01519753,0.01330513,0.003213836,0.001283298,0,0.005232109,0.009127269,0.1905366,0.0119336,0.002944861,0,0,0,0,0.01481492,0.01584821,0.006725761,0,0.1538615,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0.008469835,0.0002791042,0.0002636012,0,0.0127895,0.01086011,0.006666839,0.1027382,0.1275155,0.005949503,0.244289,0.003477242,0.1041038,0.07026152,0.1219766,0.006017227,0.05521219,0.6635603,0.03793343,0.03106874,0.02175504,0.00941025,0.02595181,1.075029,0.4694314,0.2352108,0.0895704,1.07918,0.3764757,0.1716227,0.0009560589,0.07150432,0.06654318,0.01446466,0.01519134,0.01034675,0.002867586,0.001224739,0,0.004987477,0.009250354,0.1965587,0.009832503,0.002766345,0,0,0,0,0.0150274,0.01802897,0.006793708,0,0.1226375,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0.008416283,0.00027663,0.0002637865,0,0.01240963,0.01073812,0.006848453,0.1024636,0.1335551,0.00478532,0.2280822,0.003287306,0.09936254,0.06895327,0.1089629,0.005932175,0.05040141,0.5513915,0.04131088,0.02858932,0.02253975,0.009521834,0.02167299,1.113307,0.2285532,0.2465904,0.09445631,1.158621,0.4012621,0.1670747,0.0009560406,0.06768129,0.06520314,0.01428865,0.01520742,0.007865367,0.00256741,0.001227793,0,0.005100019,0.009096351,0.1993518,0.009068386,0.002675323,0,0,0,0,0.01491182,0.01781893,0.006790491,0,0.1158078,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0.008008254,0.0002578168,0.0002610753,0,0.01071283,0.009864801,0.006541679,0.09000731,0.1398434,0.003458371,0.1931955,0.002908029,0.09222495,0.06144247,0.1111071,0.005799396,0.06265313,0.4601409,0.04203736,0.02582137,0.02209263,0.008939343,0.01599918,0.9744864,0.2154043,0.2581739,0.1378357,0.9862905,0.4391753,0.1511846,0.0008806115,0.0604578,0.06165159,0.01301535,0.01404429,0.006093916,0.002171621,0.001148609,0,0.00489003,0.008371413,0.1965488,0.009841091,0.002268094,0,0,0,0,0.01411818,0.01555752,0.00670142,0,0.1312755,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0.007877498,0.0002584895,0.0002600701,0,0.008983936,0.009362988,0.006546974,0.07698663,0.1351584,0.002594338,0.1558087,0.002367935,0.09511166,0.05487488,0.1006542,0.005054024,0.06999943,0.474714,0.04421243,0.02561101,0.02283786,0.008216675,0.01442919,0.6063612,0.1117272,0.2749265,0.1170696,1.286171,0.4605898,0.1352034,0.00085973,0.05262386,0.05639808,0.01191875,0.01346251,0.004928087,0.00196709,0.001114485,0,0.004875422,0.008080537,0.1943273,0.01032348,0.001806007,0,0,0,0,0.0132802,0.01432018,0.006601481,0,0.1614608,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0.008299759,0.0002876931,0.0002629133,0,0.007903896,0.01002241,0.007191952,0.05823331,0.1202323,0.002010536,0.1132785,0.003179502,0.07913236,0.05037699,0.08949899,0.005428886,0.06235892,0.5016202,0.04769646,0.02631385,0.02510194,0.008332571,0.01485484,0.6147563,0.17039,0.2988898,0.1564088,1.343997,0.4509026,0.1357629,0.0009674869,0.0526722,0.05092609,0.01191313,0.01401378,0.004556164,0.002034582,0.001154503,0,0.005149825,0.008383485,0.2058314,0.01066177,0.001601519,0,0,0,0,0.01323538,0.01531901,0.006593631,0,0.1645709,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0.00831704,0.0002802257,0.0002592437,0,0.006090408,0.009756344,0.006769758,0.03344041,0.1011521,0.001447907,0.09466645,0.004705769,0.1043083,0.04196665,0.09081515,0.004992315,0.07304391,0.5070409,0.04612313,0.02471352,0.02539276,0.007805552,0.01331277,0.7609005,0.3801072,0.3307624,0.1015131,1.251112,0.4299699,0.129411,0.0009338467,0.05133165,0.04588759,0.01108697,0.01310114,0.004692654,0.002037002,0.00108895,0,0.005012595,0.00775352,0.1996875,0.01089586,0.001390916,0,0,0,0,0.01284491,0.01361989,0.00655533,0,0.1652606,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0.008321314,0.0003151656,0.0002619846,0,0.004649795,0.0093639,0.006411271,0.01626685,0.07789066,0.00110706,0.09598242,0.004100289,0.1345533,0.03193908,0.09375588,0.004992981,0.06305068,0.5783801,0.03735572,0.02698488,0.0223325,0.007200663,0.02029015,0.7978129,0.2359626,0.359609,0.1008371,1.321918,0.4138937,0.1271965,0.0009765886,0.05201954,0.04167425,0.009292914,0.01114816,0.004904821,0.001654404,0.0008426248,0,0.004083653,0.007323854,0.1867098,0.01043793,0.001284827,0,0,0,0,0.01245229,0.01365979,0.006560547,0,0.1752211,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0.008777267,0.0003471372,0.0002638843,0,0.004009517,0.009543958,0.006432664,0.01072384,0.05584124,0.001066417,0.09770393,0.003018574,0.1551955,0.03300067,0.08590712,0.004701733,0.0658869,0.5313575,0.0360116,0.02755552,0.0231296,0.006290875,0.02467686,0.8971775,0.3344979,0.3746278,0.07429135,0.9989939,0.4079328,0.1224728,0.001059322,0.04848635,0.0385843,0.008571961,0.01091452,0.005552011,0.001616338,0.000764631,0,0.004052291,0.007313756,0.167381,0.009078409,0.001091782,0,0,0,0,0.01210859,0.01431108,0.006563784,0,0.1697114,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0.007521987,0.0004319988,0.0001381739,0,0.004120576,0.01084875,0.007402982,0.01151459,0.04039169,0.001667718,0.07215229,0.001560886,0.1121297,0.03656853,0.09251964,0.003953782,0.05247135,0.4299054,0.03683762,0.01525802,0.02523022,0.005913833,0.02357247,0.8797874,0.4105305,0.3824717,0.08893063,1.007509,0.415548,0.1107296,0.001352521,0.04805519,0.03650332,0.008442125,0.01180668,0.006213713,0.00158637,0.00073355,0,0.004200978,0.007855591,0.1620012,0.009253473,0.001022069,0,0,0,0,0.01289656,0.0177966,0.005917424,0,0.1301804,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0.009995523,0.0005102781,0.0001911117,0,0.004561789,0.01312343,0.008922555,0.0181211,0.03206819,0.002057792,0.05415437,0.0006259144,0.07733991,0.04887153,0.1111549,0.004055475,0.04472287,0.4975701,0.04443246,0.02183143,0.0312064,0.005877841,0.02715058,0.9001877,0.2774491,0.3663841,0.07718798,0.7832997,0.4359019,0.1258304,0.001767902,0.04815787,0.03512805,0.009541095,0.01440528,0.006165957,0.001802051,0.0008470018,0,0.005255779,0.009070185,0.1637201,0.008490473,0.001019452,0,0,0,0,0.01647263,0.02306498,0.007709704,0,0.2125425,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0.01354006,0.0005445845,0.0003514872,0,0.003947235,0.01252626,0.008977688,0.01430843,0.03228466,0.001078258,0.04310407,0.000656537,0.05628913,0.03337769,0.1179263,0.003581528,0.03838185,0.3906123,0.02950127,0.0313863,0.02337215,0.005378473,0.0203468,1.09816,0.1566889,0.3445624,0.07060326,0.7795,0.4525921,0.1452095,0.002043014,0.04715155,0.03417157,0.007365877,0.01240626,0.005065289,0.0009756758,0.0005385791,0,0.003308546,0.00806397,0.15353,0.00812794,0.001019712,0,0,0,0,0.01942164,0.02675237,0.01088405,0,0.2829471,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0.0138589,0.0005062546,0.0003395821,0,0.003317661,0.01213524,0.008649441,0.01016232,0.03147151,0.0004340594,0.03409337,0.001291267,0.06710916,0.02767691,0.1070229,0.003206667,0.03423489,0.3617531,0.02763346,0.03178868,0.02324997,0.005284315,0.01586823,1.370815,0.1833749,0.3093543,0.05291551,0.9002264,0.4463132,0.1448331,0.002091354,0.04690246,0.0335232,0.006806665,0.01181854,0.004386592,0.0007607755,0.0004603721,0,0.003033196,0.007543616,0.1568082,0.007970768,0.001027036,0,0,0,0,0.01989211,0.02685813,0.01206201,0,0.2363808,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0.01245483,0.0004593069,0.0002627739,0,0.002660884,0.01161952,0.00783047,0.005955212,0.02747017,0.0002394377,0.0281162,0.001500608,0.1020302,0.02390187,0.1131673,0.003215892,0.02908127,0.001785876,0.03004139,0.02505519,0.02592894,0.005289681,0.01250289,1.488398,0.07506546,0.2673,0.05657823,1.047397,0.4266397,0.1312833,0.001924342,0.04665209,0.03359982,0.006648516,0.01110054,0.004260297,0.0007426345,0.0004495671,0,0.003374089,0.007005609,0.1619773,0.005947086,0.0009756057,0,0,0,0,0.01998751,0.02418698,0.01620537,0,0.2555176,0,0,0,0,0,0,0,0,0,0,0
